NumID	PinskyID	p	q	lat	long	depth	b_temp	b_salin	bayenv_pop	dist
193	PADE_14206L1519	0.4591	0.5409	41.002	-70.464	43.24	17.02	33.342	1	1677.8336280214
194	PADE_14207L1585	0.3295	0.6705	41.002	-70.464	43.24	17.02	33.342	1	1677.8336280214
195	PADE_14208L1520	0.373	0.627	41.002	-70.464	43.24	17.02	33.342	1	1677.8336280214
196	PADE_14209L1521	0.338	0.662	41.002	-70.464	43.24	17.02	33.342	1	1677.8336280214
197	PADE_14210L1522	0.5117	0.4883	41.002	-70.464	43.24	17.02	33.342	1	1677.8336280214
198	PADE_14211L1428	0.5603	0.4397	40.9485	-70.2815	38.51	16.41	32.678	1	1682.20946147464
199	PADE_14212L1523	0.3366	0.6634	40.9485	-70.2815	38.51	16.41	32.678	1	1682.20946147464
200	PADE_14213L1586	0.3715	0.6285	40.6625	-70.0165	49.3	16.2	33.043	1	1670.65622262268
201	PADE_14214L1429	0.3512	0.6488	40.76967	-69.7298	38.93	15.91	32.819	1	1695.08449935269
202	PADE_14215L1430	0.4392	0.5608	40.76967	-69.7298	38.93	15.91	32.819	1	1695.08449935269
203	PADE_14216L1431	0.6118	0.3882	40.76967	-69.7298	38.93	15.91	32.819	1	1695.08449935269
204	PADE_14217L1432	0.4652	0.5348	40.76967	-69.7298	38.93	15.91	32.819	1	1695.08449935269
205	PADE_14218L1524	0.3447	0.6553	40.71967	-69.7415	45.46	17.17	33.484	1	1690.13739889625
206	PADE_14219L1525	0.321	0.679	40.7155	-69.7543	45.02	17.17	33.484	1	1689.09683565965
207	PADE_14220L1433	0.3187	0.6813	40.7155	-69.7543	45.02	17.17	33.484	1	1689.09683565965
208	PADE_14221L1434	0.3488	0.6512	40.7155	-69.7543	45.02	17.17	33.484	1	1689.09683565965
209	PADE_14222L1435	0.3317	0.6683	40.7155	-69.7543	45.02	17.17	33.484	1	1689.09683565965
210	PADE_14223L1526	0.3628	0.6372	40.3515	-69.4403	73.91	15.26	33.673	1	1675.03216521696
211	PADE_14224L1436	0.3879	0.6121	40.40933	-69.8732	76.9	14.65	33.976	1	1656.32795284452
212	PADE_14225L1587	0.3015	0.6985	40.40933	-69.8732	76.9	14.65	33.976	1	1656.32795284452
213	PADE_14226L1527	0.3798	0.6202	40.40933	-69.8732	76.9	14.65	33.976	1	1656.32795284452
214	PADE_14227L1437	0.3465	0.6535	40.32967	-70.2008	85.37	14.01	34.029	1	1631.94868842021
215	PADE_14228L1438	0.3399	0.6601	40.85383	-68.2205	52.05	15.27	32.986	1	1785.43103982008
216	PADE_14229L1528	0.3049	0.6951	40.85383	-68.2205	52.05	15.27	32.986	1	1785.43103982008
226	PADE_14239L1533	0.7481	0.2519	40.78917	-68.409	57.72	16.28	32.657	1	1769.37767550251
227	PADE_14240L1534	0.3066	0.6934	40.575	-68.8032	67.37	16.94	34.155	1	1729.35958708992
228	PADE_14241L1443	0.3942	0.6058	40.575	-68.8032	67.37	16.94	34.155	1	1729.35958708992
229	PADE_14242L1535	0.5235	0.4765	40.81717	-69.0158	75.6	16.01	33.256	1	1737.72565470106
230	PADE_14243L1589	0.3375	0.6625	40.81717	-69.0158	75.6	16.01	33.256	1	1737.72565470106
231	PADE_14244L1536	0.3655	0.6345	40.81717	-69.0158	75.6	16.01	33.256	1	1737.72565470106
232	PADE_14245L1444	0.6196	0.3804	40.81717	-69.0158	75.6	16.01	33.256	1	1737.72565470106
233	PADE_14246L1537	0.3146	0.6854	40.86333	-68.7913	66.36	16.21	32.838	1	1754.01822566457
234	PADE_14247L1538	0.3718	0.6282	40.86333	-68.7913	66.36	16.21	32.838	1	1754.01822566457
235	PADE_14248L1590	0.3362	0.6638	40.86333	-68.7913	66.36	16.21	32.838	1	1754.01822566457
236	PADE_14249L1539	0.5052	0.4948	40.9735	-68.0578	53.29	16.38	32.7	1	1804.5065343963
237	PADE_14250L1445	0.2862	0.7138	40.9735	-68.0578	53.29	16.38	32.7	1	1804.5065343963
238	PADE_14251L1540	0.5874	0.4126	41.337	-67.7327	40.65	17.45	32.66	1	1852.6905013396
239	PADE_14252L1541	0.4629	0.5371	41.337	-67.7327	40.65	17.45	32.66	1	1852.6905013396
240	PADE_14253L1446	0.4002	0.5998	41.337	-67.7327	40.65	17.45	32.66	1	1852.6905013396
